NO;BUMN;Company;Status;Year;debt to equity t-1;equity minus t-1;solvability t-1 (total liabilities/total assets);kenaikan (penurunan) revenue (revenue t-1-revenue t-2/revenue t-2);net profit margin t-1 (laba bersih/penjualan);Jenis Perusahaan (apakah PT);ROA t-1 (net income/assets);Likuiditas t-1 (current assets/current liabilities);debt to equity t-2;solvability t-2 (total liabilities/total assets);net profit margin t-2 (laba bersih/penjualan);ROA t-2 (net income/assets);Likuiditas t-2 (current assets/current liabilities)2;asset turnover penjualan/total aset (t-1);asset turnover penjualan/total aset (t-2);PMN_Portion;PSO_Portion;SLA_Portion;Guarantee_Portion
90;PT Rajawali Nusantara Indonesia (Persero);PT Rajawali Nusantara Indonesia (Persero);Untung;2020;1.114386008;0;0.527049462;0.257640407;-0.009945529;1;-0.004720197;0.886448168;1.201251243;0.54571292;0.03630256;0.014025864;0.891558896;0.474604913;0.386360186;0;0;0;0
91;PT Perikanan Nusantara (Persero);PT Perikanan Nusantara (Persero);Untung;2020;1.124334879;0;0.529264425;-0.363288327;-0.183155558;1;-0.085888356;0.388057487;0.777522529;0.437419226;0.024278748;0.016917456;0.199537648;0.46893666;0.696800997;0;0;0;0
92;PT Perkebunan Nusantara III (Persero);PT Perkebunan Nusantara III (Persero);Rugi;2020;1.648367869;0;0.622408952;0.115287549;0.001384308;1;0.00038786;1.054422495;1.211238994;0.547764849;0.027452985;0.007357915;1.577825018;0.280183108;0.268018765;0;0;0;0
93;PT Pupuk Indonesia (Persero);PT Pupuk Indonesia (Persero);Rugi;2020;0.889203537;0;0.470676409;0.026769763;0.052056985;1;0.027384299;0.517738603;1.103741179;0.524656355;0.060669407;0.030333128;0.425421646;0.526044659;0.499974029;0;0;0;0
94;PT BioFarma (Persero);PT BioFarma (Persero);Rugi;2020;0.291490756;0;0.225701001;-0.214091137;0.139991001;1;0.044826463;0.383173945;0.241213959;0.19433713;0.167909805;0.073397423;0.311591476;0.320209602;0.437124104;0;0;0;0
95;PT Berdikari (Persero);PT Berdikari (Persero);Untung;2020;3.650876517;0;0.784986766;-0.563639323;0.074073153;1;0.062770788;1.003081391;5.310641502;0.841537505;0.021083738;0.043473332;0.984929264;0.847416172;2.061936633;0;0;0;0
96;PT Sang Hyang Seri (Persero);PT Sang Hyang Seri (Persero);Rugi;2020;0.666053238;0;0.399779084;-0.164258414;-1.178740686;1;-0.032207999;4.448785689;-1.400741258;3.495375708;-1.055479424;-0.325792162;3.075736361;0.027324075;0.308667469;0;0;0;0
97;PT Pertani (Persero);PT Pertani (Persero);Untung;2020;0.909526713;0;0.476310023;-0.31721019;-0.071491825;1;-0.047242392;0.549534476;2.775984291;0.73516839;-0.046855558;-0.06739646;0.366510476;0.660808313;1.438387716;0;0;0;0
98;PT Garam (Persero);PT Garam (Persero);Untung;2020;0.240789327;0;0.19406141;-0.377150714;0.08011223;1;0.017330036;0.12622153;0.208353381;0.172427523;0.355036429;0.127039856;0.185674088;0.216321973;0.357822032;0;0;0;0
99;PT Pertamina (Persero);PT Pertamina (Persero);Untung;2020;1.148863654;0;0.534637761;-0.033221147;0.047969469;1;0.039718109;0.528649594;1.24044609;0.553660316;0.017146526;0.014913752;0.603470626;0.827987264;0.869782677;0;0;0.019076603;0
100;PT TWC BP dan RB (Persero);PT TWC BP dan RB (Persero);Untung;2020;0.166494668;0;0.142730933;0.071251601;0.348978371;1;0.195591048;0.324587928;0.175386489;0.149216016;0.300809217;0.19692265;0.278422562;0.560467535;0.654643006;0;0;0;0
101;PT Energy Management Indonesia (Persero);PT Energy Management Indonesia (Persero);Untung;2020;1.778030303;0;0.640032724;0.788398921;0.032330221;1;0.013558767;0.870438864;1.477579602;0.596380274;0.351474556;0.09576558;0.868810189;0.419383692;0.27246803;0;0;0;0
102;PT Hotel Indonesia Natour (Persero);PT Hotel Indonesia Natour (Persero);Untung;2020;0.14360776;0;0.125574314;0.04504208;0.054930669;1;0.004116878;1.16229376;0.147768356;0.128744058;0.024960253;0.001791792;1.121313297;0.074946797;0.071785795;0;0;0;0
103;PT Pengembangan Pariwisata Indonesia (Persero);PT Pengembangan Pariwisata Indonesia (Persero);Rugi;2020;0.324159875;0;0.244804182;0.081644906;0.169284607;1;0.026018681;0.976491005;0.233189707;0.189094756;0.252025423;0.039548469;0.537110871;0.153697857;0.156922539;0;0;0;0
104;PT Sarinah (Persero);PT Sarinah (Persero);Untung;2020;0.594243611;0;0.372743291;-0.374504022;-0.010177182;1;-0.014082991;0.471952065;0.527944087;0.345525789;0.025351273;0.056967352;0.412277977;1.383781021;2.247119935;0;0;0;0
105;PT Perusahaan Perdagangan Indonesia (Persero);PT Perusahaan Perdagangan Indonesia (Persero);Untung;2020;0.547119011;0;0.353637426;0.368481931;-0.046273568;1;-0.029968812;0.522424809;0.535876332;0.348905912;0.073815597;0.033463807;0.330095307;0.647644296;0.453343306;0;0;0;0
106;PT Bhanda Ghara Reksa (Persero);PT Bhanda Ghara Reksa (Persero);Untung;2020;0.622598709;0;0.383705071;-0.271367974;0.075851495;1;0.069315639;0.631900275;0.803934243;0.445656069;0.050480656;0.064479209;0.690701109;0.913833532;1.277305283;0;0;0;0
107;PT Pos Indonesia (Persero);PT Pos Indonesia (Persero);Untung;2020;1.323648109;0;0.569642238;0.022707483;0.023112948;1;0.013070071;0.930527307;1.194787354;0.544374995;0.024402091;0.01443323;0.978621069;0.565486972;0.591475139;0;0;0;0
108;PT Perusahaan Listrik Negara (Persero);PT Perusahaan Listrik Negara (Persero);Untung;2020;0.705496469;0;0.413660469;0.094216544;0.012019075;1;0.002726801;1.052399117;0.624915556;0.409749227;0.000652658;0.000155533;1.749698884;0.226872807;0.238306787;0.006993907;0.270125603;0.052921381;0.281673333
109;PT Kawasan Berikat Nusantara (Persero);PT Kawasan Berikat Nusantara (Persero);Untung;2020;0.551681263;0;0.355537586;0.135029183;0.125574798;1;0.042474875;0.987721926;0.436514306;0.30387049;0.230541908;0.069163754;0.839915092;0.338243625;0.300005125;0;0;0;0
110;PT Kawasan Industri Wijayakusuma (Persero);PT Kawasan Industri Wijayakusuma (Persero);Untung;2020;0.345906435;0;0.257006301;-0.053937212;0.299984708;1;0.092453515;0.433611442;0.295798053;0.228274809;0.460313003;0.16959994;0.363151694;0.308194094;0.368444817;0;0;0;0
111;PT Kawasan Industri Medan (Persero);PT Kawasan Industri Medan (Persero);Untung;2020;0.281828897;0;0.219864677;0.378415641;0.21736943;1;0.115985526;0.43598427;0.177669217;0.150865128;0.264343616;0.126524284;0.160290755;0.53358711;0.478635672;0;0;0;0
112;PT Kawasan Industri Makassar (Persero);PT Kawasan Industri Makassar (Persero);Untung;2020;0.478207046;0;0.323505827;-0.145171334;0.428070333;1;0.123511;0.238485912;0.873536825;0.46625015;0.46029678;0.14759013;0.581907961;0.288529689;0.320641239;0;0;0;0
113;PT Semen Indonesia (Persero) Tbk;PT Semen Indonesia (Persero) Tbk;Rugi;2020;1.35475174;0;0.575326782;0.315452261;0.058740258;1;0.029712068;0.734773792;0.562665795;0.360067902;0.10055206;0.060319623;0.512431185;0.505821208;0.59988451;0;0;0;0
114;PT Semen Baturaja (Persero) Tbk;PT Semen Baturaja (Persero) Tbk;Untung;2020;0.599885478;0;0.374955262;0.001858395;0.015040632;1;0.005398051;0.437064767;0.594301533;0.37276608;0.038117394;0.013736713;0.468522722;0.358897881;0.360379113;0;0;0;0
115;PT Semen Kupang (Persero);PT Semen Kupang (Persero);Rugi;2020;25.16733871;0;0.961785998;0.332844814;0.604520464;1;0.016222632;1.686760655;44.49165176;0.978017945;0.447239863;0.009000256;2.072156738;0.026835538;0.020124001;0;0;0;0
116;PT Balai Pustaka (Persero);PT Balai Pustaka (Persero);Rugi;2020;1.314277688;0;0.567899736;0.437637104;0.053598333;1;0.028188295;1.089380413;1.608478907;0.616634815;0.049661732;0.017306117;1.149093929;0.525917384;0.348479933;0;0;0;0
117;PT Telekomunikasi Indonesia (Persero) Tbk;PT Telekomunikasi Indonesia (Persero) Tbk;Untung;2020;0.886635394;0;0.469955879;0.022344726;0.203530358;1;0.124733283;1.39899813;0.757806706;0.356335984;0.203455401;0.108147869;1.069173523;0.612848541;0.531555655;0;0;0;0
118;PT PAL Indonesia (Persero);PT PAL Indonesia (Persero);Rugi;2020;19.03217387;0;0.950080305;0.031141818;0.058413122;1;0.014656194;0.823583964;22.44071517;0.957339186;-0.192280703;-0.049709227;0.650514558;0.25090585;0.258524261;0;0;0;0
119;PT Industri Kapal Indonesia (Persero);PT Industri Kapal Indonesia (Persero);Rugi;2020;0.786270849;0;0.440174484;-0.082538981;0.073933381;1;0.013495071;0.585525645;0.751480162;0.429054338;0.100094932;0.020232262;0.520962362;0.182530145;0.202130736;0;0;0;0
120;PT Dok dan Perkapalan Kodja Bahari (Persero);PT Dok dan Perkapalan Kodja Bahari (Persero);Rugi;2020;-2.996980669;1;1.500755974;-0.321897182;-0.401244699;1;-0.04748986;3.312822873;-3.279157057;1.438758705;-0.63800303;-0.107691178;2.888693665;0.118356355;0.168794149;0;0;0;0
121;PT Dok dan Perkapalan Surabaya (Persero);PT Dok dan Perkapalan Surabaya (Persero);Rugi;2020;-3.335703349;1;1.428136561;0.493764159;0.014063657;1;0.004230558;2.170363291;-3.341788518;1.427024043;0.019933041;0.003964806;1.591897908;0.30081497;0.198906218;0;0;0;0
122;PT Indonesia Asahan Aluminium (Persero);PT Indonesia Asahan Aluminium (Persero);Rugi;2020;1.296158874;0;0.564490066;0.235169081;0.000304358;1;0.000148869;0.552937369;1.180193885;0.541325197;0.164179291;0.064686666;0.442523641;0.489123871;0.394000154;0;0;0;0
123;PT Krakatau Steel (Persero) Tbk;PT Krakatau Steel (Persero) Tbk;Untung;2020;2.233597196;0;0.690746899;-0.198590387;-0.361921323;1;-0.125673184;0.795337942;1.387671946;0.581181995;-0.044358401;-0.017660578;1.615280138;0.347238961;0.398133775;0;0;0;0
124;PT Boma Bisma Indra (Persero);PT Boma Bisma Indra (Persero);Untung;2020;2.772759026;0;0.73494199;0.008812859;0.028917043;1;0.011230564;0.964452726;2.649264465;0.725972176;0.030693972;0.012537871;0.949299034;0.388371788;0.408479894;0;0;0;0
125;PT Industri Nuklir Indonesia (Persero);PT Industri Nuklir Indonesia (Persero);Untung;2020;9.727599324;0;0.906782499;0.534168854;0.070596677;1;0.050391033;0.655834564;15.0964404;0.937874463;0.027182657;0.016508524;0.545795714;0.713787601;0.607318265;0;0;0;0
126;PT Industri Telekomunikasi Indonesia (Persero);PT Industri Telekomunikasi Indonesia (Persero);Untung;2020;-6.186712925;1;1.192800337;-0.533619343;-1.099621374;1;-0.312030132;1.697968511;7.257881363;0.878903564;0.000546148;0.000253051;1.520876758;0.283761428;0.463337185;0;0;0;0
127;PT Barata Indonesia (Persero);PT Barata Indonesia (Persero);Rugi;2020;2.909057882;0;0.744183885;0.023279936;0.031944618;1;0.014408345;0.853339917;2.805244242;0.737204779;0.031148479;0.014911283;0.794942665;0.45104141;0.478716232;0;0;0;0
128;PT Dahana (Persero);PT Dahana (Persero);Rugi;2020;0.854318392;0;0.460718286;0.003398461;0.037246406;1;0.03988758;0.617093877;0.90675958;0.475550032;0.067568249;0.074621586;0.680162161;1.070910834;1.104388339;0;0;0;0
129;PT LEN Industri (Persero);PT LEN Industri (Persero);Rugi;2020;6.135652121;0;0.859858639;-0.206012321;0.016810341;1;0.010536857;0.96839238;5.721084733;0.851214493;0.032123623;0.0279419;0.910236817;0.626808016;0.869824067;0;0;0;0
130;PT Pindad (Persero);PT Pindad (Persero);Rugi;2020;3.709049167;0;0.787642905;0.061822046;0.029740057;1;0.014670982;0.824973097;3.700748313;0.787267913;0.031421817;0.015585548;0.617187184;0.493307126;0.496010405;0;0;0;0
131;PT Dirgantara Indonesia (Persero);PT Dirgantara Indonesia (Persero);Rugi;2020;2.617929053;0;0.723598781;0.137659393;0.040852664;1;0.011503699;0.78171386;2.770173645;0.734760227;-0.169398498;-0.042277965;0.791336452;0.281589939;0.249576974;0;0;0;0
132;PT Adhi Karya (Persero) Tbk;PT Adhi Karya (Persero) Tbk;Untung;2020;4.343026306;0;0.812840173;-0.022205552;0.043444871;1;0.018212593;0.807951567;3.791935019;0.791316035;0.041201433;0.02141629;0.745758713;0.419211579;0.519794785;0;0;0;0
133;PT Amarta Karya (Persero);PT Amarta Karya (Persero);Untung;2020;4.339350839;0;0.812711315;-0.190600355;0.014294107;1;0.007523558;0.751828796;4.555804534;0.820008067;0.012920927;0.008618519;0.756624613;0.526339837;0.66702013;0;0;0;0
134;PT Brantas Abipraya (Persero);PT Brantas Abipraya (Persero);Untung;2020;2.460808897;0;0.711050211;-0.170824595;0.072072456;1;0.044838073;0.794306219;2.366906758;0.702991478;0.07556312;0.06737962;0.772767689;0.622124949;0.891699817;0;0;0;0
135;PT Jasa Marga (Persero) Tbk;PT Jasa Marga (Persero) Tbk;Untung;2020;3.299176257;0;0.767397301;-0.287466691;0.078719588;1;0.020805547;3.575989751;3.080333538;0.754921996;0.05507889;0.024709119;2.630933964;0.264299495;0.448613238;0;0;0;0
136;PT Waskita Karya (Persero) Tbk;PT Waskita Karya (Persero) Tbk;Rugi;2020;3.210017326;0;0.762471286;-0.35667012;0.032780617;1;0.008393052;0.918137753;3.306126419;0.767772726;0.094684717;0.037137304;0.847894653;0.256037032;0.392220681;0;0;0;0
137;PT Wijaya Karya (Persero) Tbk;PT Wijaya Karya (Persero) Tbk;Rugi;2020;2.232291321;0;0.690621946;-0.126620918;0.096315117;1;0.04219899;0.716880091;2.440541227;0.709348055;0.066541086;0.03500422;0.648642642;0.438134647;0.526054237;0;0;0;0
138;PT Hutama Karya (Persero);PT Hutama Karya (Persero);Untung;2020;2.991866101;0;0.749490595;-0.013313798;0.076637936;1;0.02206923;0.989947775;5.078930839;0.835497388;0.085107395;0.035275125;1.143381891;0.287967434;0.414477791;0.457344781;0;0;0.924530454
139;PT Pembangunan Perumahan (Persero) Tbk;PT Pembangunan Perumahan (Persero) Tbk;Untung;2020;2.414815528;0;0.707158413;-0.018294946;0.048997204;1;0.020421868;0.731118397;2.22078945;0.689517115;0.077986756;0.037279251;0.706627157;0.416796596;0.478020282;0;0;0;0
140;PT Industri Kereta Api (Persero);PT Industri Kereta Api (Persero);Untung;2020;3.424133133;0;0.773967019;0.04467382;0.032389569;1;0.014737492;0.919029985;2.984610823;0.749034462;0.027474524;0.014283324;0.812698889;0.45500736;0.519875207;0;0;0;0
141;PT PDI Pulau Batam (Persero);PT PDI Pulau Batam (Persero);Rugi;2020;0.767297474;0;0.434164302;-0.007964335;-0.047417998;1;-0.031280001;0.204603713;0.718488286;0.418093211;0.05576621;0.036139128;0.23729464;0.659665151;0.648047048;0;0;0;0
142;PT Pelabuhan Indonesia I (Persero);PT Pelabuhan Indonesia I (Persero);Rugi;2020;1.534713519;0;0.605478097;-0.017131021;0.111024624;1;0.020562807;0.745175186;1.163853134;0.537861427;0.290625152;0.064537514;1.020888694;0.185209428;0.222064449;0;0;0;0
143;PT Pelabuhan Indonesia II (Persero);PT Pelabuhan Indonesia II (Persero);Untung;2020;1.871013694;0;0.651690968;-0.088113953;0.224723185;1;0.048112627;0.254191601;2.129575874;0.680467884;0.198939137;0.047259849;0.223919474;0.214097301;0.237559334;0;0;0;0
144;PT Pelabuhan Indonesia III (Persero);PT Pelabuhan Indonesia III (Persero);Untung;2020;1.784130863;0;0.640821481;-0.01221011;0.19996059;1;0.06922288;0.60381998;1.945899661;0.660545125;0.128530678;0.045414538;0.553053605;0.346182612;0.353336175;0;0;0;0
145;PT Pelabuhan Indonesia IV (Persero);PT Pelabuhan Indonesia IV (Persero);Rugi;2020;0.700041717;0;0.41177914;0.107535879;0.119864824;1;0.041708032;0.990096847;0.733986999;0.423294407;0.098675993;0.031446806;0.473388946;0.347958895;0.318687502;0;0;0;0
146;PT Indah Karya (Persero);PT Indah Karya (Persero);Untung;2020;3.621578128;0;0.783623695;-0.072424495;0.055837899;1;0.012734081;0.363079271;2.037633475;0.670796359;0.116257548;0.044828586;0.602818734;0.228054451;0.385597205;0;0;0;0
147;PT Bina Karya (Persero);PT Bina Karya (Persero);Untung;2020;1.030135726;0;0.507422096;-0.240550319;0.077198216;1;0.050339943;0.714082698;2.055918166;0.672766106;0.128011965;0.081512605;0.781501412;0.652086874;0.636757703;0;0;0;0
148;PT Angkasa Pura I (Persero);PT Angkasa Pura I (Persero);Untung;2020;1.677421206;0;0.626506282;0.02789738;0.165801994;1;0.033941203;0.754629206;1.099949742;0.523798127;0.235406351;0.063460512;1.488579752;0.204709255;0.26957859;0;0;0;0
149;PT Angkasa Pura II (Persero);PT Angkasa Pura II (Persero);Untung;2020;0.80003984;0;0.44445674;0.16837814;0.090872856;1;0.022893207;0.895316708;0.631064068;0.386903299;0.201494805;0.049623873;0.87091037;0.251925688;0.246278674;0;0;0;0
150;PT Virama Karya (Persero);PT Virama Karya (Persero);Untung;2020;1.302709424;0;0.565728967;-0.033959317;0.055540005;1;0.054001916;0.611799366;1.207032497;0.546902911;0.083124396;0.097497666;0.687100917;0.972306654;1.172912776;0;0;0;0
151;PT Yodya Karya (Persero);PT Yodya Karya (Persero);Untung;2020;1.062615345;0;0.515178629;-0.531018914;0.026103307;1;0.013639574;0.624261844;1.233601526;0.552292569;0.234568352;0.245836085;0.661885426;0.52252285;1.048036034;0;0;0;0
152;PT Indra Karya (Persero);PT Indra Karya (Persero);Untung;2020;1.946962027;0;0.660667497;0.152775772;0.054905829;1;0.043549168;0.938362768;1.486317521;0.597798756;0.060262056;0.055235123;0.812916162;0.793161112;0.916582117;0;0;0;0
153;PT Bank Negara Indonesia (Persero) Tbk;PT Bank Negara Indonesia (Persero) Tbk;Untung;2020;5.76462801;0;0.852172211;0.092745103;0.197806083;1;0.018340217;2.879646464;6.32576111;0.863495412;0.21034218;0.018664711;2.420940536;0.092718165;0.08873499;0;0;0;0
154;PT Bank Mandiri (Persero) Tbk;PT Bank Mandiri (Persero) Tbk;Rugi;2020;5.306356976;0;0.841429846;0.086145386;0.218903999;1;0.021585944;1.895957692;5.500054668;0.84615514;0.21600665;0.021502925;1.842133482;0.098609182;0.099547516;0;0;0;0
155;PT Bank Rakyat Indonesia (Persero) Tbk;PT Bank Rakyat Indonesia (Persero) Tbk;Rugi;2020;5.785752548;0;0.85263241;0.102708125;0.224220555;1;0.024290531;0.777622562;5.999843347;0.85713966;0.2329141;0.024996938;0.784302039;0.108333205;0.107322562;0;0;0;0
156;PT Bank Tabungan Negara (Persero) Tbk;PT Bank Tabungan Negara (Persero) Tbk;Untung;2020;12.07997472;0;0.923547253;0.116612485;0.007519406;1;0.000671195;0.771755023;11.85362565;0.922200939;0.112662334;0.009163157;3.08522106;0.089261688;0.081332925;0;0;0;0
157;PT ASABRI (Persero);PT ASABRI (Persero);Rugi;2020;-6.053994977;1;1.197863275;-4.525330873;0.669629423;1;-0.201276547;0.077522684;29.20572424;0.966893692;0.041988855;0.002287096;0.114852991;-0.300579008;0.054469121;0;0;0;0
159;PT Reasuransi Indonesia Utama (Persero);PT Reasuransi Indonesia Utama (Persero);Untung;2020;2.032195661;0;0.670205979;0.066951667;0.04622155;1;0.022469746;0.678563956;1.992065517;0.66578272;0.045625075;0.023400036;0.672271878;0.486131391;0.512876658;0;0;0;0
160;PT Taspen (Persero);PT Taspen (Persero);Untung;2020;22.06025571;0;0.956635346;0.155201065;0.021737352;1;0.001500117;0.146668272;22.85775567;0.958084909;0.017267044;0.001171159;0.027401988;0.069011017;0.06782626;0;0;0;0
161;PT Garuda Indonesia (Persero) Tbk;PT Garuda Indonesia (Persero) Tbk;Untung;2020;5.183087611;0;0.838268505;0.040252098;0.00141231;1;0.001449282;2.873144893;3.803027335;0.791797979;0.001147523;0.001129293;1.806309719;1.026177941;0.984113308;0;0;0;0
162;PT Pelayaran Nasional Indonesia (Persero);PT Pelayaran Nasional Indonesia (Persero);Untung;2020;0.166508419;0;0.142740864;0.231487382;0.049594218;1;0.038959639;0.232948609;0.113487205;0.101920529;0.044450269;0.031115367;0.154102777;0.785568178;0.700004023;0;0.537098557;0;0
163;PT Kereta Api Indonesia (Persero);PT Kereta Api Indonesia (Persero);Untung;2020;1.267312911;0;0.558949276;-0.022792536;0.07523497;1;0.04398225;1.176070821;1.130909388;0.530716789;0.057161339;0.039378205;0.810170105;0.584598491;0.688895785;0;8.15815E-05;0;0.93303593
164;PT Bahana Pembinaan Usaha Indonesia (Persero);PT Bahana Pembinaan Usaha Indonesia (Persero);Untung;2020;2.214812482;0;0.688939866;-0.087081454;0.182937171;1;0.029477798;0.568598272;2.38464335;0.704547896;0.161070003;0.029076081;0.274877033;0.161136187;0.180518287;0;0;0;0
165;PT Biro Klasifikasi Indonesia (Persero);PT Biro Klasifikasi Indonesia (Persero);Untung;2020;0.338928043;0;0.253133874;0.141714006;0.121244244;1;0.116230086;0.198740909;0.346831618;0.257516689;0.091617233;0.088397107;0.228870451;0.958644153;0.964852395;0;0;0;0
167;PT Kliring Berjangka Indonesia (Persero);PT Kliring Berjangka Indonesia (Persero);Untung;2020;5.088559261;0;0.835757532;0.58856013;0.447598642;1;0.022617218;0.837631884;4.914606926;0.830927057;0.388800226;0.014653233;0.833226479;0.050530131;0.037688335;0;0;0;0
168;PT Permodalan Nasional Madani (Persero);PT Permodalan Nasional Madani (Persero);Rugi;2020;8.050119864;0;0.889504226;0.583108091;0.189614452;1;0.037699075;0.395918674;8.63707878;0.896234116;0.020824093;0.00371525;0.341081794;0.198819627;0.17841113;0;0;0;0
169;PT PANN (Persero);PT PANN (Persero);Rugi;2020;-1.265018687;1;4.77331882;-0.95947147;0.164304993;1;0.001674019;0.080308394;-1.249543594;5.007315844;0.010688192;0.002643806;0.690456136;0.010188485;0.247357604;0;0;0;0
170;PT Pegadaian (Persero);PT Pegadaian (Persero);Untung;2020;1.832753636;0;0.646986597;0.543347869;0.175660617;1;0.047579291;0.606987269;1.624274445;0.618942294;0.242094308;0.052574702;0.552626368;0.27085918;0.217166206;0;0;0;0
171;PT Sucofindo (Persero);PT Sucofindo (Persero);Untung;2020;0.322362738;0;0.24377791;0.016927992;0.121515647;1;0.093619524;0.278839253;0.39732589;0.284347333;0.105043206;0.084102265;0.339682288;0.770431841;0.800644503;0;0;0;0
172;PT Surveyor Indonesia (Persero);PT Surveyor Indonesia (Persero);Untung;2020;0.353647649;0;0.26125532;0.165265765;0.098259278;1;0.093155944;0.357635985;0.377367148;0.273977166;0.095932751;0.086280425;0.374713508;0.948062571;0.89938445;0;0;0;0
173;PT ASDP Indonesia Ferry (Persero);PT ASDP Indonesia Ferry (Persero);Untung;2020;0.173579918;0;0.147906347;0.116174583;0.101785072;1;0.041856357;0.477770101;0.175952085;0.149625216;0.091298576;0.034930405;0.457849674;0.411222942;0.382595289;0;0;0;0
174;PT Djakarta Lloyd (Persero);PT Djakarta Lloyd (Persero);Rugi;2020;1.187952381;0;0.542951662;0.114127319;0.103352125;1;0.056725416;0.560620081;0.997796148;0.499448429;0.109142505;0.065028077;0.428293585;0.548855827;0.59580891;0;0;0;0
175;PT Perusahaan Pengelola Aset (Persero);PT Perusahaan Pengelola Aset (Persero);Untung;2020;1.657935844;0;0.623768195;-0.022647124;0.049040274;1;0.022689018;0.818981085;1.231927979;0.551956869;0.062837037;0.036510704;0.747274281;0.462660918;0.581037968;0;0;0;0
176;PT Iglas (Persero);PT Iglas (Persero);Untung;2020;-1.141339784;1;8.075148753;-0.931884058;-1184.12766;1;-0.352285099;76.05747332;-1.133765254;8.475842554;-122.6347826;-0.595616184;63.84655355;0.000297506;0.004856829;0;0;0;0
